TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
247.710476190,-230.507,7.11659,0.842083,6.34973,3.22537,15.0307,10.475,10.1964,6.44703,5.53487,4.63137,5.5468,2.94342,3.75261,2.85734,1.70876,-0.427131,-2.25429,-1.70393,-0.122381,1.28576
247.733696145,-231.26,9.66889,1.56792,4.54399,1.08136,11.6444,11.129,8.59669,4.80022,4.98632,3.3318,4.5763,4.08582,4.30301,3.84754,2.51993,-2.18108,-0.962818,0.662872,1.34217,1.85167
247.756916100,-134.469,-1.0973,1.08664,1.52353,-0.484289,3.37419,1.44755,3.58027,1.50628,3.22634,-2.84067,0.398523,0.415311,1.28108,1.74186,3.9443,1.83716,1.3519,0.410709,0.518758,1.80891
247.780136054,-141.997,1.44517,5.39532,4.17456,-3.56538,4.22999,2.17353,1.9527,-2.22652,-0.530761,-0.938803,3.29878,1.15122,1.16227,0.40844,0.992887,1.59561,1.76562,-0.254269,-1.73013,-1.57667
247.803356009,-158.086,2.71824,5.68278,4.17192,-2.83893,5.91034,4.29097,6.38798,0.337558,0.820799,-3.0735,-2.118,-0.774248,1.458,2.53059,2.10435,-0.330852,0.567789,0.216613,-2.73354,-1.51552
247.826575964,-181.753,0.277423,6.42982,10.2302,-1.73879,4.16978,1.7898,4.50078,-0.207818,2.19282,-0.361836,1.29192,0.171397,2.79207,2.28639,3.46427,1.08736,0.328118,2.72323,-0.768491,-2.63213
247.849795918,-164.644,-9.67814,9.66482,13.1425,0.764494,6.15518,1.96664,3.09457,-1.19143,0.370442,-2.6353,1.95038,2.12612,1.44124,1.02322,1.3591,1.44718,-0.362049,-0.11343,1.79374,2.12303
247.873015873,-167.567,-12.0387,4.2156,10.9853,0.904693,9.03358,6.15075,7.06827,1.43941,-0.107545,-2.51212,0.316345,0.0270041,0.544007,1.57236,1.85778,0.800128,0.81966,0.940577,1.14175,-1.37465
247.896235828,-178.027,-7.52886,5.92566,9.39537,-0.925664,10.2297,5.43131,6.87186,-1.42675,-2.42009,-1.60854,2.41319,4.21845,2.45077,2.38444,2.73966,1.603,0.606928,1.09191,0.363336,-1.23032
247.919455782,-194.674,-6.15648,6.05469,12.0803,0.317931,10.2014,6.5795,7.65775,1.50405,1.51838,0.450274,0.242529,-0.67514,1.80329,4.24734,4.46011,0.0123208,-2.06771,-0.446023,-0.119138,-0.650164
