TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
8.312743764,0.676774,0.296219,0.499062,0.475132,0.409271,0.241973,0,0.612604,0.686095,0.704776,0.877555,1.69363
8.359183673,0.592739,0.351097,0.637535,0.435948,0.29725,0.333748,0,0.321435,0.923709,0.866883,0.954765,1.58128
8.405623583,0.528201,0.393922,0.702381,0.489882,0.336757,0.407528,0.0944172,0.262115,1.07071,0.88299,0.967883,1.33497
8.452063492,0.581852,0.497624,0.763017,0.458922,0.235365,0.600774,0.330372,0.423915,0.937442,0.717444,0.82591,1.27694
8.498503401,0.611026,0.856698,1.48749,0.462951,0.273128,1.06828,0.254075,1.23434,0.411135,0.333676,0.406772,1.49755
8.544943311,0.19485,0.898967,1.54748,0.19041,0.0773255,0.667305,0.205927,2.04282,0.0787537,0.274463,0.240736,1.47627
8.591383220,0.127474,0.563712,1.62502,0.0554978,0.0794591,0.613726,0.150629,2.1718,0.0498604,0.132298,0.129044,1.41696
8.637823129,0.115572,0.26824,0.993127,0.269866,0.208971,0.397435,0,2.35476,0.296615,0.169593,0.77354,1.28251
8.684263039,0.672702,0.228944,0.646544,0.506254,0.412015,0.374824,0,1.18863,0.519274,0.719101,0.81826,1.25917
8.730702948,0.660204,0.43107,0.140386,0.557999,0.472008,0.209797,0,0.683144,0.781519,0.916825,1.15241,0.960564
8.777142857,0.545719,0.568642,0.199109,0.49052,0.456583,0.279416,0,0.373284,0.876175,0.969962,1.38702,0.690683
8.823582766,0.519501,0.539491,0.156377,0.504468,0.458004,0.429497,0,0.314423,1.03453,0.97773,1.47024,0.443372
8.870022676,0.55306,0.204999,0.0784144,0.540424,0.475716,0.698276,0.0114096,0.401739,1.17519,0.886797,1.17168,0.224472
8.916462585,0.477792,0.524327,1.20742,0.519356,0.309218,0.933427,0.00454527,1.44856,0.515016,0.345442,0.468671,1.50126
8.962902494,0.0623844,0.862417,1.5866,0.0938329,0.0833767,0.644181,0.114708,2.38847,0.0443089,0.198064,0.606233,1.47727
9.009342404,0.0394772,0.527837,1.5974,0.053986,0.0808905,0.5748,0.0283196,2.5539,0.0324633,0.0937817,0.439841,1.37252
9.055782313,0.0499132,0.173842,1.1367,0.251606,0.218313,0.396305,0,2.49025,0.183325,0.144842,0.825787,1.4404
